"","sin1","cos1","sin2","cos2","sin3","cos3","sin4","cos4","sin5","cos5","sin6","cos6","sin7","cos7","sin8","cos8","sin9","cos9","sin10","cos10"
"299",-0.0277447756431356,-0.0553985470712209,0.049615052067125,0.0371095432667486,-0.0609801584953232,-0.0109632049591111,0.0594337208522388,-0.017504411408224,-0.0453031718352419,0.0422657569996889,0.0215804224345012,-0.058078024765299,0.006711625935204,0.061593227471826,-0.0335825980697761,-0.0520670788500188,0.0533430082493586,0.0315165839519303,-0.0618089151199803,-0.00429297155607671
"300",-0.0284108404064295,-0.0550599286277289,0.0504956054858608,0.0359021645546131,-0.0613368100293759,-0.00875027591053349,0.0585205065578939,-0.0203499853881448,-0.0426737848600101,0.0449190347048085,0.01732514158393,-0.0594862258189826,0.0118811894318641,0.0608079676586414,-0.0384420056284871,-0.0485899557146287,0.0564431657273742,0.0255527031008929,-0.061876456908001,0.00317422015659068
"301",-0.0290727731431389,-0.0547133023574505,0.0513467839765922,0.0346739003913806,-0.061613182811532,-0.0065258943389357,0.0574711389768853,-0.023148213274241,-0.039889282859902,0.0474090361219561,0.0129791885479225,-0.0605831020807592,0.016966131109622,0.0595896130903812,-0.0429438659701688,-0.0446608997740348,0.058879038466517,0.0192880901685114,-0.0610451568177449,0.0105953018922137
"302",-0.0297304775828392,-0.0543587186731485,0.0521680923812429,0.0334254652980676,-0.0618089151199803,-0.00429297155607687,0.0562880595584327,-0.0258925847345633,-0.0369597872267377,0.0497267103400626,0.00856530813682644,-0.0613629129817957,0.021930234307154,0.0579468412972056,-0.0470463075116324,-0.0403164549856647,0.0606219584594989,0.0127964739528122,-0.0593270906430094,0.0178624720832913
"303",-0.0303838580700628,-0.0539962291448995,0.052959052918132,0.0321575855297736,-0.0619237507766538,-0.00205443005261152,0.0549740208445198,-0.0285767147390408,-0.0338959463899807,0.0518636328405345,0.00410660066305155,-0.0618215773341674,0.0267381430153502,0.0558913526512008,-0.0507111736444441,-0.0355970288183333,0.0616514131227769,0.00615425487406134,-0.056747215692352,0.0248701649422734
"304",-0.0310328195782104,-0.0536258864925929,0.0537192054599159,0.0308709986531948,-0.0619575394825204,0.000186800326920206,0.0535320800658547,-0.0311943584148341,-0.0307088971107399,0.0538120361195541,-0.000373598955825068,-0.0619566946900044,0.0313556136946777,0.053437787032402,-0.0539043776276769,-0.030546516424349,0.0619552867110101,-0.000560394188714787,-0.0533430082493587,0.0315165839519301
"305",-0.031677267723372,-0.0532477445782638,0.0544481078012585,0.0295664531175578,-0.0619102370142965,0.00242778621872775,0.0519655920289443,-0.0337394255756012,-0.0274102240007354,0.0555648379221943,-0.0048518433217744,-0.0617675579043818,0.035749759169164,0.0506036195586539,-0.0565962196270233,-0.0252118923728457,0.0615300029083665,-0.007268447921436,-0.04916391917733,0.0377051806018108
"306",-0.0323171087780539,-0.0528618583982596,0.055145335916077,0.0282447078192223,-0.0617819052823278,0.0046655945790103,0.0502782013108316,-0.0362059948908699,-0.0240119174133707,0.0571156669857201,-0.00930469526970224,-0.061255156836206,0.0398892828599019,0.0474090361219562,-0.058761662951504,-0.0196427737416093,0.0603805669185078,-0.0138909586310599,-0.04427065557649,0.0433460568900795
"307",-0.03295224968481,-0.0524682840752407,0.0558104842042112,0.0269065316602068,-0.0615727122495596,0.00689729652277918,0.0484738337796553,-0.038588327662553,-0.020526329859972,0.0584588861985056,-0.0137088505272835,-0.0604221731677272,0.0437447016897877,0.0438767896177659,-0.0603805669185078,-0.0138909586310599,0.0585205065578939,-0.0203499853881449,-0.0387342989286437,0.0483572712174362
"308",-0.0335825980697761,-0.0520670788500189,0.0564431657273741,0.0255527031008931,-0.061282931711704,0.00911997115723666,0.0465566874607603,-0.0408808811765512,-0.0169661311096219,0.0595896130903812,-0.0180412596792926,-0.0592729663697924,0.0472885560718934,0.0400320378912391,-0.0614378741812968,-0.00800994439265029,0.0559717130456834,-0.0265695113207204,-0.0326352725394683,0.0526660287031862
